name,gender,sub1,sub2,sub3,sub4,lab1,lab2,year,dept,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,regno,password,rowid
Bader Ahmed,m,24,71,73,77,25,6,1,CS,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2027726,Ba2027726,1
Ramdin Verma,m,49,95,87,86,39,14,1,IS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1548720,Rv1548720,2
Sharati Chandran,f,41,76,96,15,21,30,1,ME,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2910467,Sc2910467,3
Batool Mohammed,f,98,37,48,54,16,11,1,EC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1667392,Bm1667392,4
Amenda Meer,f,32,66,63,13,47,12,1,EE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2729592,Am2729592,5
Kushal Singh,m,82,81,89,69,7,11,1,CI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1498253,Ks1498253,6
Kalley Jason,f,23,40,44,89,10,43,2,CS,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1872213,Kj1872213,7
Sarah Robert,f,81,2,57,87,34,15,2,IS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2094472,Sr2094472,8
Vikkey Chris,f,5,61,56,35,33,24,2,ME,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2514431,Vc2514431,9
Anne Alex,f,75,17,27,21,38,15,2,EC,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1109221,Aa1109221,10
